experiment,hour,date_of_week,date_of_month,device_make,platform_os,browser
0,12,3,9,65,1,4
0,2,4,10,50,1,7
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,8,3,9,13,1,1
0,12,3,9,13,1,1
1,10,3,9,66,1,7
0,15,4,3,63,1,7
1,7,6,5,13,1,2
1,10,5,4,13,1,1
1,19,2,8,13,1,2
0,7,4,10,65,1,4
1,10,4,3,70,1,7
0,6,1,7,13,1,1
1,18,2,8,13,1,1
0,15,4,3,13,1,1
0,8,4,10,70,1,2
0,19,4,3,111,1,5
1,14,5,4,13,1,1
1,6,3,9,13,1,1
0,21,1,7,13,1,1
1,11,5,4,13,1,1
0,15,4,3,13,1,1
1,10,0,6,18,1,2
0,11,3,9,42,1,7
1,13,1,7,52,1,4
0,15,4,3,13,1,1
1,0,0,6,32,1,2
1,11,4,3,13,1,4
0,15,4,3,46,1,7
1,1,4,3,13,1,1
1,0,6,5,13,1,1
0,3,4,10,99,1,2
0,16,3,9,13,1,1
1,3,6,5,13,1,1
0,15,6,5,13,1,1
0,15,4,3,13,1,1
1,7,2,8,13,1,1
1,15,4,10,60,1,2
1,15,2,8,23,1,1
1,21,3,9,67,1,2
1,11,4,10,13,1,1
0,5,4,10,13,1,1
1,9,4,3,0,1,2
1,10,5,4,60,1,2
0,15,4,3,32,1,4
1,4,1,7,13,1,1
1,11,3,9,13,1,1
0,12,4,10,20,1,1
0,10,6,5,67,1,4
1,15,2,8,13,1,1
1,19,1,7,13,1,1
0,6,3,9,13,1,1
1,9,5,4,13,1,1
0,15,4,3,13,1,1
1,16,2,8,13,1,1
1,0,4,3,13,1,1
0,15,4,3,42,1,2
1,7,4,3,13,1,1
0,1,0,6,84,1,7
1,15,2,8,13,1,1
1,16,2,8,13,1,1
0,8,5,4,13,1,1
0,15,4,3,7,1,2
0,20,5,4,13,1,1
0,14,4,10,111,0,6
0,12,4,10,1,1,4
0,0,3,9,13,1,1
1,7,5,4,13,1,1
0,21,2,8,20,1,1
1,16,5,4,60,1,2
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,3,4,3,71,1,2
0,7,6,5,72,1,4
